20260720T,375.00,380.00,400.00,350.00,360.00
20260721T,375.00,400.00,385.00,390.00,376.00
20260722T,375.00,400.00,385.00,390.00,378.00
20260723T,380.00,400.00,385.00,350.00,390.00
20260724T,375.00,371.00,350.00,380.00,400.00
20260726T,350.00,375.00,380.00,400.00,385.00
20260727T,385.00,380.00,350.00,400.00,374.00
20260728T,350.00,380.00,385.00,400.00,360.00
20260729T,375.00,380.00,350.00,385.00,400.00
20260730T,375.00,400.00,385.00,390.00,381.00
20260731T,375.00,400.00,372.00,380.00,350.00
20260803T,400.00,375.00,380.00,350.00,390.00
20260804T,375.00,380.00,350.00,385.00,390.00
20260805T,390.00,385.00,380.00,392.00,410.00
20260806T,390.00,385.00,380.00,392.00,425.00
20260807T,398.00,410.00,430.00,390.00,420.00
20260810T,410.00,420.00,430.00,390.00,425.00
