20260724T,685.00,685.00,715.34,700.00,680.00
20260726T,700.00,700.00,712.14,690.00,680.00
20260727T,700.00,680.00,708.64,690.00,682.00
20260728T,700.00,675.00,704.92,680.00,690.00
20260729T,700.00,660.00,692.40,680.00,650.00
20260730T,685.00,680.00,691.07,700.00,690.00
20260731T,688.00,690.00,687.88,700.00,685.00
20260803T,700.00,700.00,692.99,690.00,710.00
20260804T,700.00,700.00,697.26,710.00,720.00
20260805T,720.00,700.00,705.06,715.00,710.00
20260806T,715.00,715.00,710.02,700.00,720.00
20260807T,723.00,723.00,708.65,722.00,700.00
20260810T,730.00,700.00,714.73,720.00,710.00
